Regiao_UF;Quesito_Indigena;Localizacao_Domicilio;Quantidade;Ano;Categoria;Sexo
Nordeste;Total;Total;38977260.0;2010;Total;Total
Sudeste;Total;Total;62912190.0;2010;Total;Total
Sul;Total;Total;21403574.0;2010;Total;Total
Centro-Oeste;Total;Total;10616704.0;2010;Total;Total
Rio Grande do Norte;Total;Total;2382025.0;2010;Total;Total
Rio Grande do Sul;Total;Total;8464425.0;2010;Total;Total
Mato Grosso do Sul;Total;Total;1837311.0;2010;Total;Total
Nordeste;Total;Total;18734556.0;2010;Total;Homens
Sudeste;Total;Total;30204807.0;2010;Total;Homens
Sul;Total;Total;10388810.0;2010;Total;Homens
Centro-Oeste;Total;Total;5227309.0;2010;Total;Homens
Rio Grande do Norte;Total;Total;1148066.0;2010;Total;Homens
Rio Grande do Sul;Total;Total;4069860.0;2010;Total;Homens
Mato Grosso do Sul;Total;Total;908259.0;2010;Total;Homens
Nordeste;Total;Total;20242704.0;2010;Total;Mulheres
Sudeste;Total;Total;32707383.0;2010;Total;Mulheres
Sul;Total;Total;11014764.0;2010;Total;Mulheres
Centro-Oeste;Total;Total;5389395.0;2010;Total;Mulheres
Rio Grande do Norte;Total;Total;1233959.0;2010;Total;Mulheres
Rio Grande do Sul;Total;Total;4394565.0;2010;Total;Mulheres
Mato Grosso do Sul;Total;Total;929052.0;2010;Total;Mulheres
Nordeste;Total;Total;31546633.0;2010;Alfabetizadas;Total
Sudeste;Total;Total;59485478.0;2010;Alfabetizadas;Total
Sul;Total;Total;20311705.0;2010;Alfabetizadas;Total
Centro-Oeste;Total;Total;9852983.0;2010;Alfabetizadas;Total
Rio Grande do Norte;Total;Total;1940292.0;2010;Alfabetizadas;Total
Rio Grande do Sul;Total;Total;8081132.0;2010;Alfabetizadas;Total
Mato Grosso do Sul;Total;Total;1696164.0;2010;Alfabetizadas;Total
Nordeste;Total;Total;14817729.0;2010;Alfabetizadas;Homens
Sudeste;Total;Total;28680651.0;2010;Alfabetizadas;Homens
Sul;Total;Total;9906437.0;2010;Alfabetizadas;Homens
Centro-Oeste;Total;Total;4845004.0;2010;Alfabetizadas;Homens
Rio Grande do Norte;Total;Total;897870.0;2010;Alfabetizadas;Homens
Rio Grande do Sul;Total;Total;3892676.0;2010;Alfabetizadas;Homens
Mato Grosso do Sul;Total;Total;841234.0;2010;Alfabetizadas;Homens
Nordeste;Total;Total;16728904.0;2010;Alfabetizadas;Mulheres
Sudeste;Total;Total;30804827.0;2010;Alfabetizadas;Mulheres
Sul;Total;Total;10405268.0;2010;Alfabetizadas;Mulheres
Centro-Oeste;Total;Total;5007979.0;2010;Alfabetizadas;Mulheres
Rio Grande do Norte;Total;Total;1042422.0;2010;Alfabetizadas;Mulheres
Rio Grande do Sul;Total;Total;4188456.0;2010;Alfabetizadas;Mulheres
Mato Grosso do Sul;Total;Total;854930.0;2010;Alfabetizadas;Mulheres
Nordeste;Total;Total;7430465.0;2010;NaoAlfabetizadas;Total
Sudeste;Total;Total;3426589.0;2010;NaoAlfabetizadas;Total
Sul;Total;Total;1091825.0;2010;NaoAlfabetizadas;Total
Centro-Oeste;Total;Total;763700.0;2010;NaoAlfabetizadas;Total
Rio Grande do Norte;Total;Total;441723.0;2010;NaoAlfabetizadas;Total
Rio Grande do Sul;Total;Total;383277.0;2010;NaoAlfabetizadas;Total
Mato Grosso do Sul;Total;Total;141141.0;2010;NaoAlfabetizadas;Total
Nordeste;Total;Total;3916752.0;2010;NaoAlfabetizadas;Homens
Sudeste;Total;Total;1524093.0;2010;NaoAlfabetizadas;Homens
Sul;Total;Total;482352.0;2010;NaoAlfabetizadas;Homens
Centro-Oeste;Total;Total;382295.0;2010;NaoAlfabetizadas;Homens
Rio Grande do Norte;Total;Total;250193.0;2010;NaoAlfabetizadas;Homens
Rio Grande do Sul;Total;Total;177176.0;2010;NaoAlfabetizadas;Homens
Mato Grosso do Sul;Total;Total;67024.0;2010;NaoAlfabetizadas;Homens
Nordeste;Total;Total;3513713.0;2010;NaoAlfabetizadas;Mulheres
Sudeste;Total;Total;1902496.0;2010;NaoAlfabetizadas;Mulheres
Sul;Total;Total;609473.0;2010;NaoAlfabetizadas;Mulheres
Centro-Oeste;Total;Total;381405.0;2010;NaoAlfabetizadas;Mulheres
Rio Grande do Norte;Total;Total;191530.0;2010;NaoAlfabetizadas;Mulheres
Rio Grande do Sul;Total;Total;206101.0;2010;NaoAlfabetizadas;Mulheres
Mato Grosso do Sul;Total;Total;74117.0;2010;NaoAlfabetizadas;Mulheres
Nordeste;Total;Total;43108045.0;2022;Total;Total
Sudeste;Total;Total;69559389.0;2022;Total;Total
Sul;Total;Total;24412689.0;2022;Total;Total
Centro-Oeste;Total;Total;12887538.0;2022;Total;Total
Rio Grande do Norte;Total;Total;2648071.0;2022;Total;Total
Rio Grande do Sul;Total;Total;8976455.0;2022;Total;Total
Mato Grosso do Sul;Total;Total;2150221.0;2022;Total;Total
Nordeste;Total;Total;20527920.0;2022;Total;Homens
Sudeste;Total;Total;33069198.0;2022;Total;Homens
Sul;Total;Total;11761458.0;2022;Total;Homens
Centro-Oeste;Total;Total;6274277.0;2022;Total;Homens
Rio Grande do Norte;Total;Total;1264470.0;2022;Total;Homens
Rio Grande do Sul;Total;Total;4281884.0;2022;Total;Homens
Mato Grosso do Sul;Total;Total;1047525.0;2022;Total;Homens
Nordeste;Total;Total;22580125.0;2022;Total;Mulheres
Sudeste;Total;Total;36490191.0;2022;Total;Mulheres
Sul;Total;Total;12651231.0;2022;Total;Mulheres
Centro-Oeste;Total;Total;6613261.0;2022;Total;Mulheres
Rio Grande do Norte;Total;Total;1383601.0;2022;Total;Mulheres
Rio Grande do Sul;Total;Total;4694571.0;2022;Total;Mulheres
Mato Grosso do Sul;Total;Total;1102696.0;2022;Total;Mulheres
